# Credits: EU Copernicus Marine Service information - https://marine.copernicus.eu
# Product: OCEANCOLOUR_GLO_BGC_L3_MY_009_103
# Dataset: cmems_obs-oc_glo_bgc-plankton_my_l3-multi-4km_P1D
# Variable: Mass concentration of chlorophyll a in sea water (CHL) milligram m-3
# Geometry: POLYGON((125.85619160588331 -8.441231132291861,125.85481831486769 -8.47693669869811,125.85481831486769 -8.47693669869811,125.9262294476802 -8.47968328072936,125.93172261174269 -8.43848455026061,125.93172261174269 -8.440544486784047,125.85619160588331 -8.441231132291861))
# Values from graph: v(t): value vs. time

time,CHL
1997-09-04T00:00:00.000Z,
1997-09-05T00:00:00.000Z,
1997-09-06T00:00:00.000Z,
1997-09-07T00:00:00.000Z,
1997-09-08T00:00:00.000Z,
1997-09-09T00:00:00.000Z,
1997-09-10T00:00:00.000Z,
1997-09-11T00:00:00.000Z,
1997-09-12T00:00:00.000Z,
1997-09-13T00:00:00.000Z,
1997-09-14T00:00:00.000Z,
1997-09-15T00:00:00.000Z,
1997-09-16T00:00:00.000Z,
1997-09-17T00:00:00.000Z,
1997-09-18T00:00:00.000Z,
1997-09-19T00:00:00.000Z,
1997-09-20T00:00:00.000Z,
1997-09-21T00:00:00.000Z,
1997-09-22T00:00:00.000Z,0.32468825578689575
1997-09-23T00:00:00.000Z,
1997-09-24T00:00:00.000Z,0.4871307909488678
1997-09-25T00:00:00.000Z,
1997-09-26T00:00:00.000Z,
1997-09-27T00:00:00.000Z,
1997-09-28T00:00:00.000Z,
1997-09-29T00:00:00.000Z,
1997-09-30T00:00:00.000Z,
1997-10-01T00:00:00.000Z,0.31517598032951355
1997-10-02T00:00:00.000Z,
1997-10-03T00:00:00.000Z,
1997-10-04T00:00:00.000Z,
1997-10-05T00:00:00.000Z,
1997-10-06T00:00:00.000Z,
1997-10-07T00:00:00.000Z,
1997-10-08T00:00:00.000Z,
1997-10-09T00:00:00.000Z,0.2599955201148987
1997-10-10T00:00:00.000Z,0.2794332504272461
